                 Country, Voice & Accountability, Pol. Stability & Abs. of Violence, Govt. Effectiveness, Regulatory Quality, Rule of Law, Control of Corruption, Total Tests, Total Deaths, Total Cases, Total Vaccinations, Fully Vaccinated,   population
                  Norway,                0.95925,                                 1,                   1,                0.8,     0.96875,                     1,     8488787,         1092,      271623,            8668799,          3832159,    5465629.0
                   Nepal,                0.41725,                               0.5,               0.125,                0.2,       0.375,                  0.25,     4622560,        11529,      821651,           17196377,          7990190,   29674920.0
             New Zealand,                0.93125,                              0.95,               0.875,                0.9,     0.96875,                     1,     4941226,           44,       11896,            7616944,          3632748,    5122600.0
                    Oman,                 0.3375,                               0.5,               0.375,               0.75,      0.6875,                   0.5,            ,         4113,      304572,            5934585,          2828176,    5223376.0
                Pakistan,    0.30924999999999997,                               0.3,                0.25,                0.3,     0.34375,                  0.25,    22028156,        28745,     1285631,          124054300,         50735744,  225199929.0
                  Panama,                0.64025,                               0.6,                 0.5,               0.55,     0.46875,                  0.25,     4229011,         7367,      477990,            5620247,          2429485,    4381583.0
                    Peru,                  0.514,                               0.5,                 0.5,               0.85,         0.5,                  0.25,     5960987,       201176,     2236351,           41843357,         18466153,   33359415.0
             Philippines,                0.54675,                               0.5,                 0.5,               0.65,     0.34375,                  0.25,    22788834,        48712,     2833038,           89070292,         36869419,  111046910.0
        Papua New Guinea,                 0.4925,                               0.4,                0.25,                0.6,       0.375,                  0.25,       82516,          546,       35237,             467166,           197800,    9119005.0
                  Poland,                0.68625,                              0.75,                 0.5,                0.7,        0.75,                   0.5,    24433048,        84153,     3569137,           42033071,         20456289,   37797000.0
             Puerto Rico,                  0.625,                              0.55,               0.375,               0.65,      0.6875,                  0.25,   662998131,       782100,    48692492,          462263845,        195857569,  332915074.0
                Portugal,                0.80125,                              0.85,               0.625,                0.8,     0.84375,                   0.5,    21283107,        18458,     1151919,           16833391,          8925907,   10167923.0
                Paraguay,     0.5589999999999999,                               0.6,               0.375,                0.5,      0.4375,                  0.25,     1953832,        16474,      463121,            6060065,          2612265,    7219641.0
                   Qatar,    0.28700000000000003,                               0.6,                 0.5,                0.6,      0.8125,                  0.75,     2809592,          611,      243607,            4989421,          2218292,    2930524.0
                 Romania,     0.5700000000000001,                               0.8,               0.375,               0.65,       0.625,                  0.25,    16019397,        56618,     1780808,           14927256,          7431916,   19127772.0
      Russian Federation,                 0.2905,                              0.25,                0.25,                0.4,     0.34375,                     0,   224952019,       271091,     9500836,          127545634,         57037594,  145912022.0
                  Rwanda,                0.24875,                               0.5,               0.625,               0.45,         0.5,                   0.5,     3480201,         1343,      100362,            8748557,          3004325,   13276517.0
            Saudi Arabia,                0.19775,                              0.55,               0.375,               0.55,     0.59375,                   0.5,    31538438,         8837,      549786,           47449878,         22470514,   35340680.0
                   Sudan,                0.15825,                              0.15,               0.125,               0.15,      0.3125,                     0,            ,         3159,       43229,            1659666,           581846,   44909351.0
                 Senegal,                0.50225,                               0.6,               0.375,               0.35,       0.375,                   0.5,      890047,         1885,       73990,            1910830,           924182,   17196308.0
               Singapore,                  0.614,                              0.85,                   1,               0.95,     0.96875,                     1,    21098774,          726,      266049,           10083329,          5012181,    5453600.0
            Sierra Leone,                  0.368,                               0.5,               0.125,                0.5,      0.3125,                  0.25,            ,          121,        6402,             868726,           361089,    8141343.0
             El Salvador,    0.48250000000000004,                              0.75,               0.375,                0.6,      0.3125,                  0.25,      892564,         3778,      119803,            9179875,          4059302,    6518500.0
                 Somalia,                      0,                               0.1,                   0,                0.2,           0,                     0,            ,         1327,       23016,             964433,           564612,   16359500.0
   São Tomé and Principe,                    0.5,                              0.55,               0.125,                0.4,      0.3125,                   0.5,            ,           56,        3731,             121357,            38074,     223364.0
                Suriname,                0.55975,                              0.55,               0.125,                0.5,         0.5,                  0.25,            ,         1169,       50882,             476893,           219236,     591798.0
