                         Country, human_development_index, Total Tests, Total Deaths, Total Cases, Population Size, Latest Cases, Total Vaccinations, Fully Vaccinated
                           Japan,                    91.9,    26664442,        18358,     1726751,       126050796,          115,          197266161,         97453219
                          Jersey,                       0,            ,             ,            ,          101073,             ,             184891,            75166
                          Jordan,                    72.9,    12169073,        11633,      958990,        10269022,         5047,            7896544,          3754055
                      Kazakhstan,                    82.5,    11965068,        17856,     1055779,        18994958,          807,           16848567,          8105460
                           Kenya,                    60.1,     1675310,         5335,      255164,        54985702,           76,            7175590,          2759827
                        Kiribati,       6.300000000000001,            ,             ,           2,          121388,            0,              82167,            22675
                          Kosovo,                       0,     1315436,         2984,      161099,         1782115,            8,            1617512,           762675
                          Kuwait,       80.60000000000001,     5330503,         2465,      413383,         4328553,           21,            6578646,          3165385
                      Kyrgyzstan,                    69.7,            ,         2749,      183404,         6628347,           53,            2033611,           900435
                            Laos,      61.300000000000004,      817520,          178,       75163,         7379358,         1425,            5830021,          3099003
                          Latvia,       86.60000000000001,     5295135,         4213,      254690,         1866934,         1031,            2204205,          1195028
                         Lebanon,                    74.4,     4731376,         8735,      672548,         6769151,         1892,            3608619,          1689417
                         Lesotho,                    52.7,            ,          663,       21807,         2159067,           28,             617671,           572287
                         Liberia,       4.800000000000001,            ,          287,        5824,         5180208,            0,             589628,           456623
                           Libya,                    72.4,            ,         5466,      373210,         6958538,          574,            2335862,           652314
                   Liechtenstein,                    91.9,       79764,           61,        4745,           38254,           67,              51118,            25039
                       Lithuania,                    88.2,     6441314,         6759,      472239,         2689862,         1941,            3720941,          1784357
                      Luxembourg,       91.60000000000001,     3688070,          876,       89766,          634814,          585,             917455,           429705
                           Macao,                       0,            ,             ,            ,          658391,             ,             918971,           435527
                      Madagascar,      52.800000000000004,      245396,          967,       44330,        28427333,            0,             685440,           484570
                          Malawi,      48.300000000000004,      309766,         2306,       61926,        19647681,           10,            1431650,           605045
                        Malaysia,                     8.1,    37999992,        30474,     2638221,        32776195,         5439,           53438354,         25386777
                        Maldives,                     7.4,     1745006,          251,       91750,          543620,          100,             772056,           364082
                            Mali,      43.400000000000006,            ,          610,       17500,        20855724,           66,             847067,           320681
                           Malta,                    89.5,     1406208,          468,       39530,          516100,           95,             959906,           432343
                Marshall Islands,                    70.4,            ,             ,           4,           59618,            0,                   ,                 
                      Mauritania,                    54.6,      254282,          835,       39339,         4775110,           73,            1734046,           673813
                       Mauritius,                    80.4,            ,          240,       21040,         1273428,            0,            1875132,           914936
                          Mexico,                    77.9,    11277194,       294428,     3891218,       130262220,         6652,          132840902,         65089672
            Micronesia (country),                     6.2,            ,             ,           1,          116255,            0,                   ,                 
                         Moldova,                     7.5,     2101912,         9141,      364433,         4024025,          659,            1625371,           937115
                          Monaco,                       0,            ,           36,        3797,           39520,           59,              49980,            23308
                        Mongolia,                    73.7,     4427875,         2008,      382523,         3329282,          441,            4412537,          2151702
                      Montenegro,                    82.9,            ,         2310,      157611,          628051,          235,             531669,           256556
                      Montserrat,                       0,            ,             ,            ,            4981,             ,               2949,             1417
                         Morocco,       68.60000000000001,     9494575,        14779,      950088,        37344787,          171,           48782427,         22730482
                      Mozambique,                    45.6,      970816,         1941,      151594,        32163045,           46,           10145909,          3723693
                         Myanmar,      58.300000000000004,     4791847,        19111,      522825,        54806014,          423,           25869175,         10478302
                         Namibia,       64.60000000000001,      787883,         3573,      129243,         2587344,           56,             649840,           294586
                           Nauru,                       0,            ,             ,            ,           10873,             ,              14863,             7251
                           Nepal,                    60.2,     4622560,        11529,      821651,        29674920,          285,           17196377,          7990190
                     Netherlands,                    94.4,    16097710,        19909,     2703052,        17173094,        18595,           24636432,         12721528
                   New Caledonia,                       0,            ,             ,            ,          288217,             ,             350362,           169288
                     New Zealand,       93.10000000000001,     4941226,           44,       11896,         5122600,          172,            7616944,          3632748
                       Nicaragua,      6.6000000000000005,            ,          213,       17254,         6702379,            0,            6376188,          2322298
                           Niger,      39.400000000000006,            ,          259,        7007,        25130810,            0,             971636,           464413
                         Nigeria,      53.900000000000006,     3580510,         2978,      214270,       211400704,           52,            9846182,          3516215
                            Niue,                       0,            ,             ,            ,            1614,             ,               2352,             1150
                   North America,                       0,            ,      1171373,    58241029,       596581283,       149788,          749369707,        327150949
                 North Macedonia,                    77.4,     1449839,         7592,      215995,         2082661,          410,            1675793,           789905
                 Northern Cyprus,                       0,            ,             ,            ,                ,             ,             617389,           275988
                          Norway,                    95.7,     8488787,         1092,      271623,         5465629,         3780,            8668799,          3832159
                         Oceania,                       0,            ,         3309,      313067,        43219954,         1958,           50220332,         23895956
                            Oman,       81.30000000000001,            ,         4113,      304572,         5223376,           18,            5934585,          2828176
                        Pakistan,                    55.7,    22028156,        28745,     1285631,       225199929,          377,          124054300,         50735744
                           Palau,       82.60000000000001,            ,             ,           8,           18174,            0,                   ,                 
                       Palestine,                    70.8,            ,         4803,      460799,         5222756,          746,            3024477,          1365858
                          Panama,                    81.5,     4229011,         7367,      477990,         4381583,          248,            5620247,          2429485
                Papua New Guinea,                    55.5,       82516,          546,       35237,         9119005,           58,             467166,           197800
                        Paraguay,                    72.8,     1953832,        16474,      463121,         7219641,           63,            6060065,          2612265
                            Peru,                    77.7,     5960987,       201176,     2236351,        33359415,            0,           41843357,         18466153
                     Philippines,                    71.8,    22788834,        48712,     2833038,       111046910,          304,           89070292,         36869419
                        Pitcairn,                       0,            ,             ,            ,              47,             ,                 94,               47
                          Poland,                     8.8,    24433048,        84153,     3569137,        37797000,        29076,           42033071,         20456289
                        Portugal,                    86.4,    21283107,        18458,     1151919,        10167923,         4670,           16833391,          8925907
                           Qatar,       84.80000000000001,     2809592,          611,      243607,         2930524,          160,            4989421,          2218292
                         Romania,       82.80000000000001,    16019397,        56618,     1780808,        19127772,         1141,           14927256,          7431916
                          Russia,                    82.4,   224952019,       271091,     9500836,       145912022,        32196,          127545634,         57037594
                          Rwanda,      54.300000000000004,     3480201,         1343,      100362,        13276517,           13,            8748557,          3004325
                    Saint Helena,                       0,            ,             ,            ,            6095,             ,               7892,             3531
           Saint Kitts and Nevis,                    77.9,       56687,           28,        2786,           53546,            0,              52386,            24875
                     Saint Lucia,                    75.9,            ,          280,       13017,          184401,           17,             101057,            46607
Saint Vincent and the Grenadines,                    73.8,       90554,           74,        5562,          111269,           37,              54462,            22634
                           Samoa,                    71.5,            ,             ,           3,          200144,            0,             248729,           108864
                      San Marino,                       0,            ,           93,        6084,           34010,           45,              47811,            22378
           Sao Tome and Principe,                    62.5,            ,           56,        3731,          223364,            0,             121357,            38074
                    Saudi Arabia,                    85.4,    31538438,         8837,      549786,        35340680,           34,           47449878,         22470514
                         Senegal,                    51.2,      890047,         1885,       73990,        17196308,            3,            1910830,           924182
                          Serbia,       80.60000000000001,     6830241,        11744,     1257025,         6871547,         2180,            7899611,          3123638
                      Seychelles,       79.60000000000001,            ,          127,       23537,           98910,          120,             179462,            77951
                    Sierra Leone,                    45.2,            ,          121,        6402,         8141343,            0,             868726,           361089
                       Singapore,       93.80000000000001,    21098774,          726,      266049,         5453600,         1324,           10083329,          5012181
       Sint Maarten (Dutch part),                       0,            ,             ,            ,           43421,             ,              51697,            24824
                        Slovakia,                     8.6,    44755137,        14503,     1182562,         5460726,        12362,            4989920,          2346758
                        Slovenia,                    91.7,     1943304,         5240,      423162,         2078723,         2264,            2688239,          1151722
                 Solomon Islands,                    56.7,            ,             ,          20,          703995,            0,             208046,            46525
                         Somalia,                       0,            ,         1327,       23016,        16359500,            0,             964433,           564612
                    South Africa,                    70.9,    19529031,        89871,     2976613,        60041996,         8561,           25782259,         14561395
                   South America,                       0,            ,      1182049,    38960894,       434260137,        19741,          592609614,        254436601
                     South Korea,       91.60000000000001,    15730786,         3705,      457612,        51305184,         5262,           85349216,         41061655
